,요일,방문 시간대,방문자 집중률,지역구,방문자수,시간별방문자수
24,목요일,00~06시,0.013000000000000001,사상구,2256647.0,29336.411000000004
25,목요일,06~11시,0.034,사상구,2256647.0,76725.998
26,목요일,11~14시,0.026000000000000002,사상구,2256647.0,58672.82200000001
27,목요일,14~18시,0.034,사상구,2256647.0,76725.998
28,목요일,18~21시,0.019,사상구,2256647.0,42876.293
29,목요일,21~24시,0.011000000000000001,사상구,2256647.0,24823.117000000002
30,금요일,00~06시,0.013999999999999999,사상구,2256647.0,31593.057999999997
31,금요일,06~11시,0.035,사상구,2256647.0,78982.645
32,금요일,11~14시,0.027000000000000003,사상구,2256647.0,60929.469000000005
33,금요일,14~18시,0.037000000000000005,사상구,2256647.0,83495.93900000001
34,금요일,18~21시,0.023,사상구,2256647.0,51902.881
35,금요일,21~24시,0.013999999999999999,사상구,2256647.0,31593.057999999997
36,토요일,00~06시,0.018000000000000002,사상구,2256647.0,40619.64600000001
37,토요일,06~11시,0.034,사상구,2256647.0,76725.998
38,토요일,11~14시,0.032,사상구,2256647.0,72212.704
39,토요일,14~18시,0.043,사상구,2256647.0,97035.821
40,토요일,18~21시,0.025,사상구,2256647.0,56416.175
41,토요일,21~24시,0.016,사상구,2256647.0,36106.352
0,일요일,00~06시,0.026000000000000002,사하구,1862347.0,48421.022000000004
1,일요일,06~11시,0.028999999999999998,사하구,1862347.0,54008.062999999995
2,일요일,11~14시,0.027000000000000003,사하구,1862347.0,50283.369000000006
3,일요일,14~18시,0.036000000000000004,사하구,1862347.0,67044.49200000001
4,일요일,18~21시,0.02,사하구,1862347.0,37246.94
5,일요일,21~24시,0.013000000000000001,사하구,1862347.0,24210.511000000002
6,월요일,00~06시,0.018000000000000002,사하구,1862347.0,33522.24600000001
7,월요일,06~11시,0.03,사하구,1862347.0,55870.409999999996
8,월요일,11~14시,0.023,사하구,1862347.0,42833.981
9,월요일,14~18시,0.03,사하구,1862347.0,55870.409999999996
10,월요일,18~21시,0.018000000000000002,사하구,1862347.0,33522.24600000001
11,월요일,21~24시,0.011000000000000001,사하구,1862347.0,20485.817000000003
12,화요일,00~06시,0.017,사하구,1862347.0,31659.899
13,화요일,06~11시,0.031,사하구,1862347.0,57732.757
14,화요일,11~14시,0.023,사하구,1862347.0,42833.981
15,화요일,14~18시,0.031,사하구,1862347.0,57732.757
16,화요일,18~21시,0.018000000000000002,사하구,1862347.0,33522.24600000001
17,화요일,21~24시,0.012,사하구,1862347.0,22348.164
18,수요일,00~06시,0.017,사하구,1862347.0,31659.899
19,수요일,06~11시,0.031,사하구,1862347.0,57732.757
20,수요일,11~14시,0.023,사하구,1862347.0,42833.981
21,수요일,14~18시,0.031,사하구,1862347.0,57732.757
22,수요일,18~21시,0.019,사하구,1862347.0,35384.593
23,수요일,21~24시,0.012,사하구,1862347.0,22348.164
24,목요일,00~06시,0.017,사하구,1862347.0,31659.899
25,목요일,06~11시,0.03,사하구,1862347.0,55870.409999999996
26,목요일,11~14시,0.023,사하구,1862347.0,42833.981
27,목요일,14~18시,0.031,사하구,1862347.0,57732.757
28,목요일,18~21시,0.018000000000000002,사하구,1862347.0,33522.24600000001
29,목요일,21~24시,0.012,사하구,1862347.0,22348.164
30,금요일,00~06시,0.018000000000000002,사하구,1862347.0,33522.24600000001
31,금요일,06~11시,0.032,사하구,1862347.0,59595.104
32,금요일,11~14시,0.024,사하구,1862347.0,44696.328
33,금요일,14~18시,0.033,사하구,1862347.0,61457.451
34,금요일,18~21시,0.022000000000000002,사하구,1862347.0,40971.634000000005
35,금요일,21~24시,0.015,사하구,1862347.0,27935.204999999998
36,토요일,00~06시,0.024,사하구,1862347.0,44696.328
37,토요일,06~11시,0.034,사하구,1862347.0,63319.798
38,토요일,11~14시,0.03,사하구,1862347.0,55870.409999999996
39,토요일,14~18시,0.043,사하구,1862347.0,80080.92099999999
40,토요일,18~21시,0.027000000000000003,사하구,1862347.0,50283.369000000006
41,토요일,21~24시,0.019,사하구,1862347.0,35384.593
