기준년월,광역지자체,중분류,지출액,전년도 지출액,지역구,광역지자체명,소비액,전년동기 소비액,전년대비 소비증감률,대분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율,기초지자체,기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
,,여행업,,,부산시,,,,,여행업,1484189.0,0.0,1484189.0,100.0,,,,
,,렌터카,,,부산시,,,,,운송업,75388580.0,2.5,1515069.0,2.0,,,,
,,수상운송,,,부산시,,,,,운송업,75388580.0,2.5,2803219.0,3.7,,,,
,,육상운송,,,부산시,,,,,운송업,75388580.0,2.5,172924.0,0.2,,,,
,,항공운송,,,부산시,,,,,운송업,75388580.0,2.5,70897367.0,94.0,,,,
,,,,,부산시,,173680036.0,137304696.0,26.5,,,,,,중구,,,
,,,,,부산시,,46517420.0,38529923.0,20.7,,,,,,서구,,,
,,,,,부산시,,94883699.0,69808955.0,35.9,,,,,,동구,,,
,,,,,부산시,,36067437.0,28054952.0,28.6,,,,,,영도구,,,
,,,,,부산시,,400177396.0,320736753.0,24.8,,,,,,부산진구,,,
,,,,,부산시,,172124360.0,137047860.0,25.6,,,,,,동래구,,,
,,,,,부산시,,96229414.0,84861934.0,13.4,,,,,,남구,,,
,,,,,부산시,,196859964.0,178500008.0,10.3,,,,,,북구,,,
,,,,,부산시,,638052089.0,479561800.0,33.0,,,,,,해운대구,,,
,,,,,부산시,,80440952.0,65754488.0,22.3,,,,,,사하구,,,
,,,,,부산시,,116058905.0,98764435.0,17.5,,,,,,금정구,,,
,,,,,부산시,,180859690.0,119900200.0,50.8,,,,,,강서구,,,
,,,,,부산시,,146718272.0,124876678.0,17.5,,,,,,연제구,,,
,,,,,부산시,,160724028.0,125145841.0,28.4,,,,,,수영구,,,
,,,,,부산시,,112087463.0,93779380.0,19.5,,,,,,사상구,,,
,,,,,부산시,,370923360.0,320199172.0,15.8,,,,,,기장군,,,
,,,,,부산시,,,,,,,,,,,강서구,180859690.0,6.0
,,,,,부산시,,,,,,,,,,,금정구,116058905.0,3.8
,,,,,부산시,,,,,,,,,,,기장군,370923360.0,12.3
,,,,,부산시,,,,,,,,,,,남구,96229414.0,3.2
,,,,,부산시,,,,,,,,,,,동구,94883699.0,3.1
,,,,,부산시,,,,,,,,,,,동래구,172124360.0,5.7
,,,,,부산시,,,,,,,,,,,부산진구,400177396.0,13.2
,,,,,부산시,,,,,,,,,,,북구,196859964.0,6.5
,,,,,부산시,,,,,,,,,,,사상구,112087463.0,3.7
,,,,,부산시,,,,,,,,,,,사하구,80440952.0,2.7
,,,,,부산시,,,,,,,,,,,서구,46517420.0,1.5
,,,,,부산시,,,,,,,,,,,수영구,160724028.0,5.3
,,,,,부산시,,,,,,,,,,,연제구,146718272.0,4.9
,,,,,부산시,,,,,,,,,,,영도구,36067437.0,1.2
,,,,,부산시,,,,,,,,,,,중구,173680036.0,5.7
,,,,,부산시,,,,,,,,,,,해운대구,638052089.0,21.1
