,fid,id,left,top,right,bottom,관광여가오락수,교육수,부동산수,생활서비스수,소매수,숙박수,스포츠수,음식수,총건물수,승차총승객수,하차총승객수,대지면적,단독건물수,건물면적,공동건축물수,60대총인구수,50대총인구수,40대총인구수,30대총인구수,20대총인구수,총인구대비남성비율,총인구대비여성비율,생산가능인구남성비율,생산가능인구여성비율,인구당전기차수,병원수,어린이집수,학교수,주차장주차면수,전기차충전기수,급속충전기수,완속충전기수,전기차충전기유무,급속충전기유무,완속충전기유무,RandomForestClassifier의 P(y=1)_x,XGBClassifier의 P(y=1),LGBMClassifier의 P(y=1),CatBoostClassifier의 P(y=1),RandomForestClassifier의 P(y=1)_y,평균 P(y=1)의 확률,rf_prediction,actual,confusion,label
284,1389,1376,207153.585523172,448618.165377999,207253.585523172,448518.165377999,0,2,0,5,4,0,0,5,29,0.0,0.0,289.12,7,141.47,16,56,70,63,145,159,0.504230118443316,0.495769881556684,0.506122448979592,0.493877551020408,10.311357255,0,0,0,161.0,0,0,0,0,0,0,0.2805261782743399,0.085512094,0.0069737014742239,1.0491073544646291e-05,0.25,0.1246044930043532,1,0,FP,1사분면
285,1398,1385,207153.585523172,447718.165377999,207253.585523172,447618.165377999,0,0,1,4,2,0,1,1,10,0.0,0.0,322.71,3,190.03,6,92,73,75,72,40,0.47578947368421,0.524210526315789,0.478395061728395,0.521604938271605,8.287469875,0,2,0,150.0,0,0,0,0,0,0,0.1961671678475311,0.421817,0.4128050749320901,0.0002296192005082,0.2,0.2462037733321526,1,0,FP,3사분면
286,1399,1398,207253.585523172,452218.165377999,207353.585523172,452118.165377999,4,0,2,9,5,0,0,14,33,84.6451612903226,96.4032258064516,270.65,13,135.18,9,54,58,55,85,58,0.511688311688312,0.488311688311688,0.513888888888889,0.486111111111111,6.717212425,3,0,0,46.0,0,0,0,0,0,0,0.155984477124183,0.08240679,0.0094128379212276,9.516185549168788e-06,0.17,0.0835627240590734,1,0,FP,3사분면
287,1401,1396,207253.585523172,452418.165377999,207353.585523172,452318.165377999,3,0,2,5,4,0,1,15,38,118.491935483871,68.741935483871,169.54,22,102.38,6,56,65,53,57,46,0.48,0.52,0.48605577689243,0.51394422310757,6.10655675,1,1,0,158.0,0,0,0,0,0,0,0.1722554036858646,0.086627856,0.0160007980220453,0.0005270499955991,0.17,0.0890822215200917,1,0,FP,3사분면
288,1411,1400,207253.585523172,452018.165377999,207353.585523172,451918.165377999,0,0,4,5,6,0,0,5,50,0.0,0.0,144.8,35,78.94,9,74,62,46,96,52,0.460807600950119,0.539192399049881,0.480132450331126,0.519867549668874,7.345315405,0,0,0,89.0,0,0,0,0,0,0,0.1898987151678853,0.04310055,0.0097203184376893,6.597033662066758e-06,0.2,0.0885452362819992,1,0,FP,3사분면
289,1412,1401,207253.585523172,451918.165377999,207353.585523172,451818.165377999,0,1,2,7,5,0,0,4,54,0.0,0.0,171.01,38,92.06,12,73,83,89,119,69,0.519337016574586,0.480662983425414,0.520383693045564,0.479616306954437,9.473886615,0,1,0,186.0,0,0,0,0,0,0,0.1609024859943977,0.020798836,0.0026549861276208,1.946699702159477e-07,0.2,0.076871300539079,1,0,FP,3사분면
291,1415,1284,207053.585523172,452018.165377999,207153.585523172,451918.165377999,0,0,0,1,1,0,0,3,65,0.0,0.0,126.75,53,70.42,9,89,101,81,80,76,0.502732240437158,0.497267759562842,0.507425742574257,0.492574257425743,9.578570445,0,0,0,112.0,0,0,0,0,0,0,0.125078781512605,0.009165235,0.0002393689032065,2.758277263388944e-06,0.17,0.0608972287113666,1,0,FP,3사분면
293,1421,1294,207053.585523172,451018.165377999,207153.585523172,450918.165377999,1,1,5,16,5,0,0,10,34,298.451612903226,114.612903225806,209.76,13,101.38,2,30,36,35,112,75,0.401840490797546,0.598159509202454,0.380434782608696,0.619565217391304,5.68782143,2,0,0,197.0,0,0,0,0,0,0,0.1279061624649859,0.0033742287,4.82810333013474e-07,1.286044395068258e-11,0.15,0.0562561748015602,1,0,FP,3사분면
296,1433,1298,207053.585523172,450618.165377999,207153.585523172,450518.165377999,0,0,5,13,5,0,0,6,32,0.0,0.0,227.14,24,117.15,6,31,42,61,81,53,0.458579881656805,0.541420118343195,0.447058823529412,0.552941176470588,5.89718909,0,0,0,12.0,0,0,0,0,0,0,0.1678837680905695,0.10841185,0.0962244335489338,1.4016961869652578e-06,0.19,0.1125042903761529,1,0,FP,3사분면
297,1436,1297,207053.585523172,450718.165377999,207153.585523172,450618.165377999,5,0,0,5,2,0,0,12,46,0.0,0.0,195.08,35,102.8,8,65,53,67,110,80,0.493421052631579,0.506578947368421,0.488636363636364,0.511363636363636,7.95597108,0,0,0,0.0,0,0,0,0,0,0,0.2052057713329234,0.06123432,0.0577283603989641,0.056101058901191,0.23,0.122053902415661,1,0,FP,4사분면
