,fid,id,left,top,right,bottom,관광여가오락수,교육수,부동산수,생활서비스수,소매수,숙박수,스포츠수,음식수,총건물수,승차총승객수,하차총승객수,대지면적,단독건물수,건물면적,공동건축물수,60대총인구수,50대총인구수,40대총인구수,30대총인구수,20대총인구수,총인구대비남성비율,총인구대비여성비율,생산가능인구남성비율,생산가능인구여성비율,인구당전기차수,병원수,어린이집수,학교수,주차장주차면수,전기차충전기수,급속충전기수,완속충전기수,전기차충전기유무,급속충전기유무,완속충전기유무,RandomForestClassifier의 P(y=1)_x,XGBClassifier의 P(y=1),LGBMClassifier의 P(y=1),CatBoostClassifier의 P(y=1),RandomForestClassifier의 P(y=1)_y,평균 P(y=1)의 확률,rf_prediction,actual,confusion,label
253,1248,1493,207353.585523172,448518.165377999,207453.585523172,448418.165377999,1,1,3,4,6,0,1,10,7,0.0,0.0,899.86,1,478.14,0,0,0,0,6,0,0.6875,0.3125,0.6,0.4,0.27915688,6,0,0,289.0,0,0,0,0,0,0,0.3108820611577966,0.52079356,0.0804167319240726,0.0656403438969903,0.33,0.2615465388291825,1,0,FP,1사분면
255,1250,1491,207353.585523172,448718.165377999,207453.585523172,448618.165377999,4,0,2,2,4,0,0,31,24,0.0,0.0,444.09,2,163.86,0,9,17,24,42,58,0.39622641509434,0.60377358490566,0.385135135135135,0.614864864864865,2.774121495,1,0,0,262.0,0,0,0,0,0,0,0.2270679850957296,0.13127121,0.0273657291135191,2.4029680448597965e-07,0.18,0.1131410335598257,1,0,FP,3사분면
264,1293,1413,207253.585523172,450718.165377999,207353.585523172,450618.165377999,0,2,0,3,4,0,0,2,18,0.0,0.0,281.57,9,188.18,3,8,6,22,50,32,0.446043165467626,0.553956834532374,0.461538461538462,0.538461538461538,2.425175395,0,0,0,97.0,0,0,0,0,0,0,0.1284205307188511,0.07137216,0.0094414750951324,0.0265391304941669,0.14,0.0751546590267096,1,0,FP,3사분면
266,1307,1431,207253.585523172,448918.165377999,207353.585523172,448818.165377999,0,2,3,2,3,0,0,5,8,0.0,0.0,400.51,1,193.91,3,12,18,15,0,16,0.484210526315789,0.515789473684211,0.453125,0.546875,1.657493975,1,0,0,94.0,0,0,0,0,0,0,0.1888097887235521,0.27975112,0.939272875730717,0.0029910534242524,0.16,0.3141649679752709,1,0,FP,3사분면
269,1319,1435,207253.585523172,448518.165377999,207353.585523172,448418.165377999,3,3,4,6,13,0,1,8,26,0.0,0.0,260.26,9,122.35,3,33,21,16,49,48,0.49738219895288,0.50261780104712,0.49375,0.50625,3.332435255,8,1,0,60.0,0,0,0,0,0,0,0.1413475285947712,0.020825807,0.0018231233818736,6.368709522052049e-07,0.15,0.0627994191705528,1,0,FP,2사분면
272,1328,1440,207253.585523172,448018.165377999,207353.585523172,447918.165377999,0,1,0,1,5,0,2,6,14,563.322580645161,470.225806451613,837.06,3,227.13,6,27,36,47,34,22,0.486486486486487,0.513513513513513,0.475903614457831,0.524096385542169,3.87330171,0,1,1,99.0,0,0,0,0,0,0,0.2446656919104412,0.09238032,0.0001656103269664,4.478308095669988e-08,0.27,0.1214423339072906,1,0,FP,1사분면
274,1353,1348,207153.585523172,451418.165377999,207253.585523172,451318.165377999,1,0,0,0,2,1,0,2,38,0.0,0.0,197.82,18,86.81,14,44,49,39,43,28,0.472222222222222,0.527777777777778,0.488888888888889,0.511111111111111,4.39672086,0,0,0,140.0,0,0,0,0,0,0,0.1419628267973856,0.017283153,0.0013170288157532,1.134852186866965e-07,0.16,0.064112624377447,1,0,FP,3사분면
275,1354,1349,207153.585523172,451318.165377999,207253.585523172,451218.165377999,0,2,1,11,11,0,0,5,24,0.0,0.0,344.44,12,135.82,1,29,19,19,28,28,0.551948051948052,0.448051948051948,0.539823008849557,0.460176991150443,2.68688497,0,1,0,58.0,0,0,0,0,0,0,0.1217874649859944,0.099738576,0.0003906237111811,0.000204024888625,0.1,0.0644241378207863,1,0,FP,2사분면
276,1355,1346,207153.585523172,451618.165377999,207253.585523172,451518.165377999,0,1,0,1,25,0,0,15,31,0.0,0.0,282.55,18,173.98,3,31,28,22,47,16,0.497206703910615,0.502793296089385,0.5,0.5,3.123067595,0,0,0,100.0,0,0,0,0,0,0,0.1320395867122034,0.020555822,0.0027540231529086,1.1543928972452153e-06,0.12,0.0550701172873461,1,0,FP,2사분면
277,1356,1347,207153.585523172,451518.165377999,207253.585523172,451418.165377999,4,0,2,2,7,0,0,23,26,387.129032258065,233.258064516129,228.0,9,117.76,3,31,33,38,32,20,0.505263157894737,0.494736842105263,0.49645390070922,0.50354609929078,3.31498795,3,0,0,100.0,0,0,0,0,0,0,0.172337316532304,0.024780639,1.5199135139161746e-05,8.321768472855521e-09,0.14,0.0674266325010321,1,0,FP,2사분면
279,1363,1354,207153.585523172,450818.165377999,207253.585523172,450718.165377999,1,3,4,9,7,0,1,11,7,334.341013824885,491.281105990783,705.15,0,284.43,0,11,17,0,6,0,0.590909090909091,0.409090909090909,0.560975609756098,0.439024390243902,0.76768142,1,0,0,83.0,0,0,0,0,0,0,0.3958651223647353,0.2945024,0.0419495891777276,2.3681623809768187e-06,0.34,0.2144638974034474,1,0,FP,1사분면
282,1379,1370,207153.585523172,449218.165377999,207253.585523172,449118.165377999,0,0,0,3,3,0,0,0,21,0.0,0.0,33030.63,16,274.69,2,33,39,26,41,34,0.497695852534562,0.502304147465438,0.496932515337423,0.503067484662577,3.786065185,0,0,0,0.0,0,0,0,0,0,0,0.1565249052374669,0.08775121,0.0003570602558324,0.0040095636683579,0.13,0.0757285477795055,1,0,FP,3사분면
290,1414,1287,207053.585523172,451718.165377999,207153.585523172,451618.165377999,1,0,1,2,6,0,1,5,23,0.0,0.0,526.11,13,214.29,5,34,36,22,47,25,0.475770925110132,0.524229074889868,0.474025974025974,0.525974025974026,3.960538235,6,0,0,86.0,0,0,0,0,0,0,0.2743471009727421,0.33249027,0.7272586187317059,0.0019787952376428,0.25,0.3172149560623012,1,0,FP,1사분면
294,1422,1295,207053.585523172,450918.165377999,207153.585523172,450818.165377999,2,0,2,6,8,0,2,6,12,0.0,0.0,383.25,2,168.81,0,11,14,16,62,80,0.33502538071066,0.66497461928934,0.322222222222222,0.677777777777778,3.437119085,14,0,0,153.0,0,0,0,0,0,0,0.1986317981209396,0.071835876,0.0075531701267567,3.650006411841715e-05,0.19,0.0936114687645968,1,0,FP,1사분면
295,1424,1293,207053.585523172,451118.165377999,207153.585523172,451018.165377999,0,2,2,11,15,0,1,5,30,0.0,0.0,238.54,12,132.13,4,37,43,23,32,36,0.461904761904762,0.538095238095238,0.447204968944099,0.552795031055901,3.66393405,0,0,0,174.0,0,0,0,0,0,0,0.1630963322829132,0.08477667,0.0064659074641554,0.0001245979931939,0.23,0.0968927014961879,1,0,FP,1사분면
306,1491,1236,206953.585523172,451018.165377999,207053.585523172,450918.165377999,4,3,1,11,3,0,1,19,23,0.0,0.0,350.58,4,181.21,1,13,21,26,75,81,0.408333333333333,0.591666666666667,0.39906103286385,0.60093896713615,4.1873532,3,0,0,42.0,0,0,0,0,0,0,0.1213848039215686,0.023519125,0.0002262689436045,4.659012821426792e-06,0.14,0.0570269713427448,1,0,FP,3사분면
307,1492,1237,206953.585523172,450918.165377999,207053.585523172,450818.165377999,1,0,0,0,5,0,1,4,3,0.0,0.0,1672.9,0,581.86,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,0,47.0,0,0,0,0,0,0,0.1661926608567155,0.029806046,0.0006854447684001,1.87206556566136e-07,0.17,0.0733368677294041,1,0,FP,2사분면
311,1509,1250,206953.585523172,449618.165377999,207053.585523172,449518.165377999,0,0,0,2,2,0,0,1,9,30.9677419354839,90.0537634408602,426.57,5,166.21,0,0,16,14,21,43,0.450450450450451,0.549549549549549,0.454545454545454,0.545454545454545,1.936650855,0,1,0,0.0,0,0,0,0,0,0,0.1956562738731855,0.19801705,0.0021499990490776,0.0002366535058207,0.18,0.1152119944567212,1,0,FP,3사분면
313,1518,1259,206953.585523172,448718.165377999,207053.585523172,448618.165377999,1,1,2,6,4,0,0,7,19,38.9867549668874,62.4437086092715,1332.13,6,251.46,1,10,11,14,20,33,0.457446808510638,0.542553191489362,0.488095238095238,0.511904761904762,1.64004667,0,0,0,0.0,0,0,0,0,0,0,0.2362353179908326,0.3342341,0.819097735925155,0.0047626924131243,0.19,0.3168659669976797,1,0,FP,4사분면
