XGBClassifier의 P(y=1),LGBMClassifier의 P(y=1),CatBoostClassifier의 P(y=1),평균 P(y=1)의 확률,prediction_0.22,actual,confusion
0.23669353,0.8722471342477323,0.7505894644296146,0.6198433766507141,1,0,FP
0.005751359,9.61947542169223e-06,0.04369320000986224,0.01648472609869872,0,0,TN
0.0088057015,0.00010763040638993926,0.03172065261432815,0.013544661509945391,0,0,TN
0.002059307,2.5602762864837283e-05,0.08094774361170624,0.027677551107982715,0,0,TN
0.0018292981,3.415347619313679e-07,0.29999923798256034,0.10060962587134374,0,0,TN
0.9915439,0.9999727151037104,0.6915211416706892,0.8943459152733717,1,0,FP
0.00045195944,2.090077233369295e-07,0.29727203722282014,0.09924140188910095,0,0,TN
0.020088077,0.0303577025907718,0.09102681142957676,0.04715753020394675,0,0,TN
0.36624682,0.12433400280527201,0.3436627374380649,0.27808118657983055,1,0,FP
0.85558414,0.9960928366281085,0.8796521892018035,0.9104430568073991,1,0,FP
0.0066377698,7.600989253387273e-05,0.12383613773970285,0.04351663912782916,0,0,TN
0.09267607,0.23321236322096234,0.4301416158095405,0.2520100174477541,1,0,FP
0.023919664,0.0009536731314578813,0.32764927063524996,0.11750753603001259,0,0,TN
0.008981455,0.0002528029786036949,0.3849026051001471,0.13137895439873828,0,0,TN
0.0034601432,0.002149487329329417,0.2511043325357296,0.08557132103072973,0,0,TN
0.18430504,0.013221292808984089,0.7539685677244684,0.31716496752062656,1,0,FP
0.023598906,0.0011553294737807643,0.22254851557141325,0.08243425023265183,0,0,TN
0.15038854,0.5492339789021361,0.5110315367395629,0.40355135149304394,1,1,TP
0.07981101,2.882790851035025e-05,0.5467793074898555,0.2088730473942683,0,0,TN
0.13451457,0.7141885557013651,0.30880316935622476,0.3858354317645986,1,0,FP
0.66709006,0.0006438495905149068,0.5101510801555095,0.39262832935758185,1,1,TP
0.011962501,1.1139060548658563e-05,0.23143724909355398,0.08113696316208882,0,1,FN
0.016514525,2.7438210525628746e-06,0.23266738796203298,0.08306155220018409,0,0,TN
0.02250481,1.1929544870991457e-06,0.6344684371429992,0.2189914801137771,0,0,TN
